k,topic_id,report_topic_id,topic_name,rank,term,weight
6,1,2,Topic 2,14,体验,60.97516516308604
6,1,2,Topic 2,15,配送,60.1649927807131
6,2,3,Topic 3,1,薪资,75.32964684470946
6,2,3,Topic 3,2,统计,69.1282746847405
6,2,3,Topic 3,3,金融,64.87713723070027
6,2,3,Topic 3,4,整理,63.10586700885343
6,2,3,Topic 3,5,软件,61.587388148884386
6,2,3,Topic 3,6,时间,61.253558216976955
6,2,3,Topic 3,7,销售,60.04839693869507
6,2,3,Topic 3,8,薪酬,59.16254083246587
6,2,3,Topic 3,9,定期,57.12316996477005
6,2,3,Topic 3,10,节日,53.462499678869335
6,2,3,Topic 3,11,数据分析,49.410547122959976
6,2,3,Topic 3,12,交易,47.297079402615964
6,2,3,Topic 3,13,收集,46.106606513315
6,2,3,Topic 3,14,excel,45.501054309417846
6,2,3,Topic 3,15,责任心,44.28954645971265
6,3,4,Topic 4,1,业务,1171.5270041814533
6,3,4,Topic 4,2,数据分析,769.233074565201
6,3,4,Topic 4,3,运营,427.41084598225706
6,3,4,Topic 4,4,优化,376.77309892027
6,3,4,Topic 4,5,策略,313.58444611076334
6,3,4,Topic 4,6,用户,281.19591419134076
6,3,4,Topic 4,7,模型,248.7679690023538
6,3,4,Topic 4,8,决策,247.44942284476585
6,3,4,Topic 4,9,sql,242.75686744488206
6,3,4,Topic 4,10,落地,241.46234769300102
6,3,4,Topic 4,11,产品,240.7724832330358
6,3,4,Topic 4,12,推动,220.93684632443478
6,3,4,Topic 4,13,指标,219.65679878047894
6,3,4,Topic 4,14,报告,205.72953872123514
6,3,4,Topic 4,15,统计学,205.37674242657218
6,4,5,Topic 5,1,数据分析,84.66939608731391
6,4,5,Topic 5,2,软件,79.56722762132439
6,4,5,Topic 5,3,功能,46.86736122949547
6,4,5,Topic 5,4,海外,44.27291573171593
6,4,5,Topic 5,5,信息,42.09215526826634
6,4,5,Topic 5,6,客户,39.10049044461302
6,4,5,Topic 5,7,审计,38.40438848842356
6,4,5,Topic 5,8,企业,33.70401322305657
6,4,5,Topic 5,9,研判,32.16585301675972
6,4,5,Topic 5,10,用户,31.996143716727715
6,4,5,Topic 5,11,资金,30.963318545826258
6,4,5,Topic 5,12,技术,25.640983373395414
6,4,5,Topic 5,13,整理,25.625041704260855
6,4,5,Topic 5,14,算法,24.98692674174042
6,4,5,Topic 5,15,可视化,24.595654504946626
6,5,6,Topic 6,1,数据分析,555.1311140982532
6,5,6,Topic 6,2,业务,522.9263535096851
6,5,6,Topic 6,3,管理,310.07370253742994
6,5,6,Topic 6,4,财务,284.45385248406427
6,5,6,Topic 6,5,经营,274.2676090395767
6,5,6,Topic 6,6,优化,255.67126991290937
6,5,6,Topic 6,7,报表,194.34790165795886
6,5,6,Topic 6,8,清洗,192.70799874520947
6,5,6,Topic 6,9,流程,178.40590929447472
6,5,6,Topic 6,10,sql,174.22654391508277
6,5,6,Topic 6,11,系统,165.36669519487933
6,5,6,Topic 6,12,确保,159.14420207670645
6,5,6,Topic 6,13,成本,147.3470935840155
6,5,6,Topic 6,14,报告,145.72600756074576
6,5,6,Topic 6,15,建议,144.0843293450178
7,0,1,Topic 1,1,需求,373.5120393082965
7,0,1,Topic 1,2,项目,313.67740172213576
7,0,1,Topic 1,3,用户,279.50189109203137
7,0,1,Topic 1,4,产品,217.63941938314122
7,0,1,Topic 1,5,客户,176.5106644794933
7,0,1,Topic 1,6,设计,168.04970689588694
7,0,1,Topic 1,7,业务,163.1634672227339
7,0,1,Topic 1,8,研究,158.97134745488452
7,0,1,Topic 1,9,开发,119.83134517384866
7,0,1,Topic 1,10,技术,103.47211233116575
7,0,1,Topic 1,11,数据库,103.44794486322436
7,0,1,Topic 1,12,管理,91.4366759906626
7,0,1,Topic 1,13,行业,90.80816723733737
7,0,1,Topic 1,14,调研,86.47140748190812
7,0,1,Topic 1,15,流程,84.62871162097433
7,1,2,Topic 2,1,业务,315.24430799138406
7,1,2,Topic 2,2,商业,123.52417675325579
7,1,2,Topic 2,3,策略,119.79160780349191
7,1,2,Topic 2,4,服务,109.64804509801345
7,1,2,Topic 2,5,美团,106.14217237862809
7,1,2,Topic 2,6,经营,90.8090077500871
7,1,2,Topic 2,7,需求,80.19664022523979
7,1,2,Topic 2,8,行业,77.3024055694719
7,1,2,Topic 2,9,核心,75.9333384076184
7,1,2,Topic 2,10,餐饮,66.0170408737499
7,1,2,Topic 2,11,战略,63.693556545588834
7,1,2,Topic 2,12,用户,63.2509136448149
7,1,2,Topic 2,13,更好,62.14239010108851
7,1,2,Topic 2,14,外卖,62.14220447591236
7,1,2,Topic 2,15,体验,57.99260492719344
7,2,3,Topic 3,1,薪资,81.66182780914109
7,2,3,Topic 3,2,金融,69.98947130594128
7,2,3,Topic 3,3,薪酬,57.685450741455654
7,2,3,Topic 3,4,时间,55.75926770815926
7,2,3,Topic 3,5,员工,49.41004630499333
7,2,3,Topic 3,6,节日,48.23277988925674
7,2,3,Topic 3,7,定期,42.750015965867604
7,2,3,Topic 3,8,销售,41.213192108453065
7,2,3,Topic 3,9,data,41.01699512241456
7,2,3,Topic 3,10,节假日,39.14198487164048
7,2,3,Topic 3,11,法定,38.14232552017638
7,2,3,Topic 3,12,人力资源,34.921887765821246
7,2,3,Topic 3,13,行业,34.50403916500157
7,2,3,Topic 3,14,in,32.142737713703966
7,2,3,Topic 3,15,发展,30.778153006888243
7,3,4,Topic 4,1,业务,1043.533734094589
7,3,4,Topic 4,2,数据分析,574.9222512559346
7,3,4,Topic 4,3,运营,456.80117306039864
7,3,4,Topic 4,4,优化,363.78141151307017
7,3,4,Topic 4,5,策略,330.00164561684664
7,3,4,Topic 4,6,用户,252.83675562812553
7,3,4,Topic 4,7,落地,238.86750408875716
7,3,4,Topic 4,8,输出,225.8412255706784
7,3,4,Topic 4,9,产品,219.8446963060641
7,3,4,Topic 4,10,推动,212.29781537223448
7,3,4,Topic 4,11,指标,209.06990309415653
7,3,4,Topic 4,12,建议,206.23585293596804
7,3,4,Topic 4,13,监控,206.17144969618045
7,3,4,Topic 4,14,决策,204.44087353283132
7,3,4,Topic 4,15,搭建,177.30248081689354
7,4,5,Topic 5,1,管理,275.78941050218276
7,4,5,Topic 5,2,经营,259.1574930683264
7,4,5,Topic 5,3,财务,205.07198427317488
7,4,5,Topic 5,4,数据分析,195.50869725744934
7,4,5,Topic 5,5,运营,115.14557549117305
7,4,5,Topic 5,6,软件,101.25918684941016
7,4,5,Topic 5,7,统计,98.57702208908333
7,4,5,Topic 5,8,整理,89.63323782604391
7,4,5,Topic 5,9,收集,88.85396807086865
7,4,5,Topic 5,10,excel,76.80737679771069
7,4,5,Topic 5,11,情况,72.95062651244352
7,4,5,Topic 5,12,企业,72.90549102212368
7,4,5,Topic 5,13,分析报告,69.70202946979465
7,4,5,Topic 5,14,协调,67.95537385048861
7,4,5,Topic 5,15,提出,65.79488958664741
7,5,6,Topic 6,1,数据分析,650.5176310736252
7,5,6,Topic 6,2,业务,606.0840229700068
7,5,6,Topic 6,3,优化,261.3045809142209
7,5,6,Topic 6,4,模型,242.69644487403332
7,5,6,Topic 6,5,报表,233.81544431731047
7,5,6,Topic 6,6,sql,231.66330757510207
7,5,6,Topic 6,7,清洗,208.7538110432094
7,5,6,Topic 6,8,python,196.3636928119995
7,5,6,Topic 6,9,技术,195.28042194511406
7,5,6,Topic 6,10,开发,182.15258936758028
7,5,6,Topic 6,11,需求,167.5122813670824
7,5,6,Topic 6,12,流程,165.64153190111426
7,5,6,Topic 6,13,统计学,164.41044053714757
7,5,6,Topic 6,14,系统,160.0039769664337
7,5,6,Topic 6,15,可视化,153.2790444880881
7,6,7,Topic 7,1,交易,56.46362242083045
7,6,7,Topic 7,2,功能,44.21387669244709
7,6,7,Topic 7,3,软件,42.11640102517358
7,6,7,Topic 7,4,配送,41.57743933505673
7,6,7,Topic 7,5,物流,38.42981200797294
7,6,7,Topic 7,6,资金,36.338932327341325
7,6,7,Topic 7,7,用户,35.965416213819196
7,6,7,Topic 7,8,智能,31.939676444046377
7,6,7,Topic 7,9,客户,31.63581343540272
7,6,7,Topic 7,10,电力,28.1408669664813
7,6,7,Topic 7,11,审计,27.90951217890261
7,6,7,Topic 7,12,数据分析,25.894939970277548
7,6,7,Topic 7,13,研判,23.309460068597687
7,6,7,Topic 7,14,公安,23.142785424320174
7,6,7,Topic 7,15,可视化,23.04347795609308
8,0,1,Topic 1,1,需求,386.797657426451
8,0,1,Topic 1,2,用户,314.5621012354287
8,0,1,Topic 1,3,项目,260.5006189242698
8,0,1,Topic 1,4,产品,227.24741834239921
8,0,1,Topic 1,5,设计,203.4434231844868
8,0,1,Topic 1,6,开发,179.10691727425163
8,0,1,Topic 1,7,业务,172.31347264894808
8,0,1,Topic 1,8,研究,146.79736873802457
8,0,1,Topic 1,9,技术,138.05651347318448
8,0,1,Topic 1,10,数据库,119.25605826018362
8,0,1,Topic 1,11,数据分析,108.86383021981898
8,0,1,Topic 1,12,客户,102.68329377019326
8,0,1,Topic 1,13,系统,95.64962589386867
8,0,1,Topic 1,14,文档,90.80431670839404
8,0,1,Topic 1,15,调研,87.93849957175829
8,1,2,Topic 2,1,业务,278.4765433501331
8,1,2,Topic 2,2,商业,119.33100461016681
8,1,2,Topic 2,3,经营,107.43545197524662
8,1,2,Topic 2,4,美团,76.44742568916445
8,1,2,Topic 2,5,策略,74.99765942275921
8,1,2,Topic 2,6,服务,74.621177451737
8,1,2,Topic 2,7,核心,74.48095479584065
8,1,2,Topic 2,8,行业,70.42903137980028
8,1,2,Topic 2,9,用户,67.33604052652687
8,1,2,Topic 2,10,餐饮,65.00174535413241
8,1,2,Topic 2,11,需求,64.09218541417049
8,1,2,Topic 2,12,更好,60.884355478983686
8,1,2,Topic 2,13,洞察,58.905209911129404
