keyword,version,rank,term,doc_freq,avg_weight,total_weight
商业分析师,filtered,7,运营,15,0.4562617184363641,6.843925776545461
商业分析师,filtered,8,市场,15,0.3866663975625021,5.7999959634375315
商业分析师,filtered,9,产品,14,0.4969526599880755,6.957337239833056
商业分析师,filtered,10,报告,14,0.31079066816413997,4.35106935429796
商业分析师,filtered,11,模型,13,0.41068521762556415,5.338907829132334
商业分析师,filtered,12,研究,12,0.45835635679042325,5.500276281485079
商业分析师,filtered,13,服务,12,0.36544994066905856,4.385399288028703
商业分析师,filtered,14,指标,12,0.3333685617273359,4.000422740728031
商业分析师,filtered,15,数学,12,0.31606488601858734,3.7927786322230483
商业分析师,filtered,16,客户,11,0.43745728942889284,4.812030183717821
商业分析师,filtered,17,统计学,11,0.4256322061457199,4.681954267602919
商业分析师,filtered,18,评估,11,0.36626045036285776,4.028864953991436
商业分析师,filtered,19,软件,11,0.3621590222900748,3.9837492451908227
商业分析师,filtered,20,落地,11,0.34005587463495224,3.7406146209844744
数据分析师,raw,1,数据,270,0.8417926433773615,227.2840137118876
数据分析师,raw,2,分析,194,0.5684284735995525,110.27512387831318
数据分析师,raw,3,业务,138,0.5841637129315018,80.61459238454725
数据分析师,raw,4,优化,66,0.36030230924991546,23.77995241049442
数据分析师,raw,5,统计学,58,0.3980355254181848,23.08606047425472
数据分析师,raw,6,分析师,55,0.4138385893847043,22.761122416158738
数据分析师,raw,7,项目,51,0.4989162356417782,25.44472801773069
数据分析师,raw,8,技术,49,0.41839230095198987,20.501222746647503
数据分析师,raw,9,数学,48,0.3355302803324136,16.105453455955853
数据分析师,raw,10,计算机,45,0.35447345731416985,15.951305579137642
数据分析师,raw,11,软件,44,0.42889312724193834,18.871297598645288
数据分析师,raw,12,指标,43,0.3974972897994256,17.092383461375302
数据分析师,raw,13,行业,42,0.39140628089006874,16.439063797382886
数据分析师,raw,14,报告,42,0.34803450906923455,14.617449380907852
数据分析师,raw,15,运营,41,0.46640421960624845,19.122573003856186
数据分析师,raw,16,流程,41,0.3678099491883991,15.080207916724364
数据分析师,raw,17,管理,39,0.4225948879615183,16.481200630499213
数据分析师,raw,18,模型,37,0.4715458377616253,17.447195997180135
数据分析师,raw,19,设计,33,0.41728580929034864,13.770431706581505
数据分析师,raw,20,产品,33,0.41311403436246297,13.632763133961278
数据分析师,filtered,1,优化,66,0.36030230924991546,23.77995241049442
数据分析师,filtered,2,统计学,58,0.3980355254181848,23.08606047425472
数据分析师,filtered,3,数学,48,0.3355302803324136,16.105453455955853
数据分析师,filtered,4,计算机,45,0.35447345731416985,15.951305579137642
数据分析师,filtered,5,软件,44,0.42889312724193834,18.871297598645288
数据分析师,filtered,6,指标,43,0.3974972897994256,17.092383461375302
数据分析师,filtered,7,行业,42,0.39140628089006874,16.439063797382886
数据分析师,filtered,8,报告,42,0.34803450906923455,14.617449380907852
数据分析师,filtered,9,运营,41,0.46640421960624845,19.122573003856186
数据分析师,filtered,10,模型,37,0.4715458377616253,17.447195997180135
数据分析师,filtered,11,产品,33,0.41311403436246297,13.632763133961278
数据分析师,filtered,12,用户,32,0.40862188276962336,13.075900248627947
数据分析师,filtered,13,监控,32,0.35757499958791694,11.442399986813342
数据分析师,filtered,14,报表,30,0.40632712323025166,12.18981369690755
数据分析师,filtered,15,协作,30,0.3565132353538652,10.695397060615957
数据分析师,filtered,16,合作,27,0.4279477952934173,11.554590472922268
数据分析师,filtered,17,策略,27,0.4209898158431379,11.366725027764723
数据分析师,filtered,18,领域,26,0.353311587946699,9.186101286614173
数据分析师,filtered,19,销售,25,0.47450571604381575,11.862642901095393
数据分析师,filtered,20,背景,25,0.35274525194152667,8.818631298538167
用户分析师,raw,1,数据,99,0.7855982413831994,77.77422589693674
用户分析师,raw,2,分析,95,0.5667961377970863,53.8456330907232
用户分析师,raw,3,业务,81,0.6899131573375137,55.88296574433861
用户分析师,raw,4,用户,75,0.5585977893874895,41.894834204061716
用户分析师,raw,5,运营,44,0.4827019148200233,21.238884252081025
用户分析师,raw,6,产品,40,0.4733581321814281,18.934325287257124
用户分析师,raw,7,项目,38,0.4087881536749347,15.53394983964752
